ID,TIME,NAME,TEXT,ROLE,HATE,TARGET,VERBAL_ABUSE,INTENTION,CONTEXT
0,[2:34:16 PM], <Emilie-Harceleur>, Alors julie t'ai dégeulasse de sortir avec une gadji bande de salopes,bully,OAG,victim,DNG,AIN,NULL
1,[2:35:10 PM], <Julie-Victime>, allo mme est homophobe,victim,NAG,NULL,NULL,CNS,ATK
2,[2:36:50 PM], <Emilie-Harceleur>, mais tu veut quoi toi retourne avec ta gadji et assume au passant que vous ètent lesbiennes sa dégouteeee,bully,OAG,victim,OTH,ATK,CNS
3,[2:37:56 PM], <Julie-Victime>," on est pas ensemble déjà puis même si c'était le cas,  ça ne te regarde pas et je vois pas en quoi ça te concerne",victim,NAG,NULL,NULL,CNS,ATK
4,[2:38:49 PM], <Anna-Soutien-Harceleur>, mais grave bande de lesbiennes vous degoutée aaaaah,bully_support,OAG,victim,DNG,AIN,ATK
5,[2:39:43 PM], <Emilie-Harceleur>, mais olalala frr assume t'aime les ch*ttes mais tu dégoute meme anna elle le dit ,bully,OAG,victim,DNG,ATK,CNS
6,[2:39:54 PM], <Marie-Soutien-Victime>, laissé la tranquille elle n'est pas avec elle elle vous a dit ,victim_support,NAG,NULL,NULL,CNS,ATK
7,[2:40:16 PM], <Anna-Soutien-Harceleur>, mais assumer vous degouter bande de crasseuse,bully_support,OAG,victim,DNG,ATK,NULL
8,[2:40:17 PM], <Emilie-Harceleur>, mais ya eu des photos pk elle mito ,bully,NAG,NULL,NULL,ATK,CNS
9,[2:40:24 PM], <Anna-Soutien-Harceleur>, grave on a tous vu,bully_support,NAG,NULL,NULL,AIN,ATK
10,[2:40:28 PM], <Emilie-Harceleur>, grosse crasseuse ,bully,OAG,victim,NCG,ATK,NULL
11,[2:40:41 PM], <Anna-Soutien-Harceleur>, grave abuser vous me degoutez,bully_support,OAG,victim,DNG,AIN,ATK
12,[2:40:57 PM], <Julie-Victime>, putain mais laissez nous tranquille jvous dis qu'on est pas ensemble point,victim,NAG,NULL,NULL,CNS,ATK
13,[2:41:09 PM], <Anna-Soutien-Harceleur>, mais assume grosse pute,bully_support,OAG,victim,NCG,ATK,CNS
