ID,TIME,NAME,TEXT,ROLE,HATE,TARGET,VERBAL_ABUSE,INTENTION,CONTEXT
0,[11:34:40], <Pierre-Soutien-Harceleur>, ça lui fera de l'argent pour une fois qu'elle en aura,bully_support,NAG,NULL,NULL,OTH,NULL
1,[11:34:47], <Fatima-Victime>, bande de jaloux,victim,NAG,NULL,NULL,DFN,NULL
2,[11:34:52], <Nicolas-Soutien-Harceleur>, tu montre ton cu tassume,bully_support,OAG,victim,BLM,GSL,DFN
3,[11:34:54], <Teresa-Soutien-Victime>, bh elle va aller porter plaintet vous,victim_support,NAG,NULL,NULL,CNS,GSL
4,[11:34:55], <Fatima-Victime>, tkt jai pas besoin de ton argent,victim,NAG,NULL,NULL,OTH,NULL
5,[11:34:58], <Pierre-Soutien-Harceleur>, c'est pas dans son pays qu'elle en aura :') :'),bully_support,CAG,victim,DNG,ATK,OTH
6,[11:34:59], <Pauline-Harceleur>, c dieu qui donne mon bebew,bully,NAG,NULL,NULL,OTH,NULL
7,[11:35:09], <Pierre-Soutien-Harceleur>, elle ira pas porter plainte,bully_support,CAG,victim,THR,ATK,CNS
8,[11:35:16], <Fatima-Victime>, cmt tu sais ?,victim,NAG,NULL,NULL,OTH,ATK
9,[11:35:17], <Nicolas-Soutien-Harceleur>, ben va porter plaint,bully_support,NAG,NULL,NULL,OTH,OTH
10,[11:35:17], <Teresa-Soutien-Victime>, exactement,victim_support,NAG,NULL,NULL,OTH,NULL
11,[11:35:22], <Nicolas-Soutien-Harceleur>, on verra a la sorti,bully_support,CAG,victim,THR,ATK,OTH
12,[11:35:26], <Teresa-Soutien-Victime>, mdr,victim_support,NAG,NULL,NULL,OTH,NULL
13,[11:35:27], <Nicolas-Soutien-Harceleur>, kestu crois,bully_support,NAG,NULL,NULL,OTH,NULL
14,[11:35:28], <Teresa-Soutien-Victime>, lol,victim_support,NAG,NULL,NULL,OTH,NULL
15,[11:35:30], <Pierre-Soutien-Harceleur>, tkt je l'attendrais devant chez elle,bully_support,CAG,victim,THR,ATK,OTH
